,Country_Name,Life_Expectancy,year,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,pf_score,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,ef_score,hf_score,region,happiness_rank,happiness_score,economy_gdp_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,dystopia_residual
0,Angola,59.39800000,2015,3.512106161,8.297864524,5.000000000,8.757037037,4.000000000,6.547619048,7.500000000,6.132958280,6.155508356,2.960263718,6.885464760,5.143997963,6.065583361,5.44,5.786479140,Sub-Saharan Africa,137,4.033,0.75778,0.86040,0.16683,0.10384,0.07122,0.12344,1.94939
1,Albania,78.02500000,2015,5.164786073,8.865642363,6.666666667,9.235185185,10.000000000,8.642857143,6.250000000,7.587078008,7.923799103,5.003488819,9.585625237,8.112451744,7.035654872,7.53,7.558539004,Central and Eastern Europe,95,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,1.89894
2,United Arab Emirates,77.28500000,2015,6.333748881,8.023720505,3.333333333,5.124074074,0.500000000,6.153469156,0E-9,5.100455003,6.729955528,5.976645951,8.417219268,8.220144361,7.918170325,7.45,6.275227501,Middle East and Northern Africa,20,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743
3,Argentina,76.06800000,2015,5.535099829,8.962107772,10.000000000,7.888888889,7.500000000,8.619047619,10.000000000,8.025095551,5.333556135,3.816361620,6.455330731,3.730787481,5.549339485,4.98,6.502547776,Latin America and Caribbean,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.83600
4,Armenia,74.46700000,2015,4.679989714,8.930382953,6.666666667,6.370370370,6.500000000,7.154761905,8.000000000,6.871773061,7.070956595,5.777803721,9.481225478,8.242619487,7.364916892,7.59,7.230886530,Central and Eastern Europe,127,4.350,0.76821,0.77711,0.72990,0.19847,0.03900,0.07855,1.75873
5,Australia,82.40000000,2015,7.893906437,9.865921211,10.000000000,9.140740741,10.000000000,9.357142857,9.250000000,9.214745272,6.593442850,7.994810648,9.360138510,7.600742440,8.456478260,8.00,8.607372636,Australia and New Zealand,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646
6,Austria,81.19024390,2015,8.577467629,9.929328543,10.000000000,8.233333333,10.000000000,9.297619048,10.000000000,9.379794281,5.073794924,8.015541357,9.616600404,8.121947090,7.388044299,7.64,8.509897141,Western Europe,13,7.200,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.53320
7,Azerbaijan,72.26600000,2015,4.262049381,8.826463112,5.000000000,5.689259259,3.000000000,2.863230245,6.250000000,5.552377074,5.190154896,5.321383003,7.307812065,7.103099424,6.977047604,6.38,5.966188537,Central and Eastern Europe,80,5.212,1.02389,0.93793,0.64045,0.37030,0.16065,0.07799,2.00073
8,Burundi,60.12300000,2015,3.428378316,6.232125436,1.666666667,7.314814815,1.500000000,1.944577628,5.833333333,4.241065182,6.117647059,3.091825410,7.778224417,6.104367318,6.259963671,5.87,5.055532591,Sub-Saharan Africa,157,2.905,0.01530,0.41587,0.22396,0.11850,0.10062,0.19727,1.83302
9,Belgium,80.99268293,2015,8.075732926,9.740135637,10.000000000,8.305555556,10.000000000,9.761904762,9.250000000,9.185713173,3.854074508,7.254599508,9.664241683,8.260089940,8.098134701,7.43,8.307856586,Western Europe,19,6.937,1.30782,1.28566,0.89667,0.58450,0.22540,0.22250,2.41484
10,Benin,60.60800000,2015,4.296936351,8.031187091,6.666666667,9.877777778,9.500000000,8.952380952,10.000000000,7.581713400,5.797280424,3.580765453,6.934990574,5.924920312,6.676452396,5.78,6.680856700,Sub-Saharan Africa,155,3.340,0.28665,0.35386,0.31910,0.48450,0.08010,0.18260,1.63328
11,Burkina Faso,59.91900000,2015,4.407680340,8.370018747,8.333333333,8.161481481,7.500000000,7.738095238,10.000000000,7.367715777,5.562500000,3.597581138,6.959041731,6.611367436,7.416259395,6.03,6.698857888,Sub-Saharan Africa,152,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,1.46494
12,Bangladesh,71.51400000,2015,3.090543409,7.542737251,5.000000000,6.557777778,7.000000000,6.531109157,1.250000000,5.292208858,8.862029942,3.017133950,7.029423310,5.990862276,6.728536093,6.33,5.811104429,Southern Asia,109,4.694,0.39753,0.43106,0.60164,0.40820,0.12569,0.21222,2.51767
13,Bulgaria,74.61463415,2015,5.209517109,9.760358771,10.000000000,7.352222222,9.500000000,8.857142857,9.250000000,8.238405478,7.019716166,4.883130213,9.355065492,8.133586308,7.583775783,7.40,7.819202739,Central and Eastern Europe,134,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991
14,Bahrain,76.76200000,2015,5.972326253,7.746455847,6.666666667,7.761111111,5.000000000,4.130952381,3.333333333,6.118901874,6.767397932,5.265601604,9.182060969,7.425336752,8.234171275,7.37,6.744450937,Middle East and Northern Africa,49,5.960,1.32376,1.21624,0.74716,0.45492,0.30600,0.17362,1.73797
15,Bosnia and Herzegovina,76.86500000,2015,5.834004367,9.018850840,6.666666667,8.781481481,9.500000000,8.702380952,9.250000000,8.003266712,5.335100673,4.239211420,8.462580284,7.777568764,7.312599848,6.63,7.316633356,Central and Eastern Europe,96,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2.06367
16,Bolivia,70.27700000,2015,3.499504426,8.443566798,10.000000000,8.625925926,6.500000000,8.535714286,10.000000000,7.351931827,6.168686889,3.581133884,8.727218031,6.847370246,4.950571175,6.05,6.700965914,Latin America and Caribbean,51,5.890,0.68133,0.97841,0.53920,0.57414,0.08800,0.20536,2.82334
17,Brazil,74.99400000,2015,4.803456119,6.110787427,10.000000000,7.717037037,6.500000000,8.040351008,7.500000000,6.704299691,5.152475950,4.451300180,7.965807686,6.901220500,4.297102904,5.75,6.227149845,Latin America and Caribbean,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001
18,Canada,81.90000000,2015,7.700447121,9.775239148,10.000000000,8.850000000,10.000000000,9.511904762,9.250000000,9.130112043,5.754943662,7.850680117,9.582510675,7.873761603,8.501366871,7.91,8.520056022,North America,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176
19,Switzerland,82.89756098,2015,8.393828928,9.630873532,10.000000000,8.610740741,10.000000000,9.666666667,9.250000000,9.258916356,7.422625163,8.575948751,9.805207887,7.544713840,8.485415547,8.37,8.814458178,Western Europe,1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738
20,Chile,79.64600000,2015,6.676721530,9.043604053,10.000000000,9.194444444,10.000000000,9.154761905,5.000000000,8.265002031,7.899381032,6.450117633,9.310170579,8.213421767,7.092824665,7.79,8.027501015,Latin America and Caribbean,27,6.670,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585
21,China,75.92800000,2015,4.650841236,7.520505274,3.333333333,4.107777778,1.500000000,5.127521998,9.250000000,5.374699938,5.060334188,5.633083765,8.281163147,6.632616699,6.328628522,6.39,5.882349969,Eastern Asia,84,5.140,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,1.86040
22,Cameroon,57.58300000,2015,3.091677133,5.829825663,3.333333333,8.109629630,5.500000000,7.032676180,5.000000000,5.127939613,7.369716215,3.257379298,7.096359376,4.961704650,6.279913398,5.79,5.458969807,Sub-Saharan Africa,133,4.252,0.42250,0.88767,0.23402,0.49309,0.05786,0.20618,1.95071
23,Colombia,76.53100000,2015,4.465114576,5.193220915,8.333333333,9.014814815,10.000000000,7.563757674,10.000000000,6.905774455,6.844612333,3.793774688,8.026137533,6.914973382,7.170419033,6.55,6.727887227,Latin America and Caribbean,33,6.477,0.91861,1.24018,0.69077,0.53466,0.05120,0.18401,2.85737
24,Costa Rica,79.56500000,2015,6.683970930,8.455304642,10.000000000,8.770370370,9.500000000,9.559523810,6.875000000,8.255308311,7.598125423,5.768980090,9.759381305,7.992057134,6.433113912,7.51,7.882654156,Latin America and Caribbean,12,7.226,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728
25,Cyprus,80.35000000,2015,6.858831213,9.661065819,10.000000000,7.487037037,8.500000000,9.404761905,10.000000000,8.669154152,7.268393185,5.836172166,9.686253954,8.219853784,7.438795108,7.69,8.179577076,Western Europe,67,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931
26,Germany,80.64146341,2015,8.300566731,9.878752348,10.000000000,8.103703704,10.000000000,9.357142857,10.000000000,9.290914426,5.511018212,7.445366969,9.649703585,7.920584690,7.846373993,7.67,8.480457213,Western Europe,26,6.750,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,2.11569
