,Life_Expectancy,year,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,pf_score,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,ef_score,hf_score,happiness_rank,happiness_score,economy_gdp_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,dystopia_residual
Life_Expectancy,1.0,0.01216630884419536,0.5779008783301199,0.5007891114243882,0.3554819805364022,0.07887737321330728,0.34205664331315805,0.3788989757816047,0.2796693656162731,0.4690194076969836,-0.22816157317386357,0.5645945310014007,0.44069848609025136,0.4928551775570093,0.3480318436309177,0.47196423538601145,0.5101067551057142,-0.6000999058535813,0.6003705539138677,0.6604178523123596,0.41069004842923196,0.7930224901201169,0.3218504661348514,0.18530339729250367,0.0909807951191341,0.15330716501882632
year,0.01216630884419536,1.0,-0.020189414171690623,-0.007250674382275077,-0.010223677265155592,-0.07946783620214759,-0.0050189142050332,-0.007205765644592727,-0.014041395131419701,-0.018325775940457645,0.023504273256445506,-0.012269176722684374,-0.029093463498692643,-0.011648379899337594,0.014391428563410242,-0.006639311796660874,-0.01356314490508447,0.0074664765990162165,-0.009526135715564769,0.10969782900999235,-0.3142301128773387,-0.18025523114314554,-0.1722893210403823,-0.007299517508021006,-0.006678159481967445,0.17342189096195793
pf_rol,0.5779008783301199,-0.020189414171690623,1.0,0.5604976872913662,0.37319832865571745,0.15884370610449502,0.4040363623333201,0.5139409187300807,0.3249708410604937,0.6239316239316238,-0.286841044097201,0.7151006035574922,0.4141080664685814,0.501256443466933,0.5111698030152965,0.530075452805305,0.6300209089908659,-0.4976216514432591,0.49569859151561685,0.5969809799063622,0.4402993287113458,0.5789589523495102,0.33165810733981066,0.18521643446064637,0.08891986575476356,0.06305711455926047
pf_ss,0.5007891114243882,-0.007250674382275077,0.5604976872913662,1.0,0.4027873252274196,0.13403065496505348,0.34326506063425294,0.44706205406486244,0.42441953345885186,0.6113619441227571,-0.2563218141581478,0.5641778948974296,0.37113292159874195,0.46250118123483136,0.39315208040020994,0.4455889433636483,0.582590243288839,-0.3483856702958471,0.34808142610919307,0.43921687674054755,0.3140299031069351,0.4962751407870847,0.25311951563465357,0.08422637210113527,0.15237537368204823,0.015450109759029997
pf_movement,0.3554819805364022,-0.010223677265155592,0.37319832865571745,0.4027873252274196,1.0,0.3773401939488298,0.5127322113069271,0.5639460962537897,0.518413254449603,0.6643650358435793,-0.1331430556829654,0.345701735402444,0.3869931756291591,0.4537366162923443,0.2565060696665416,0.3850600416403114,0.6013772440025817,-0.32204701916063005,0.32147544510568615,0.2796761310251671,0.3344165890511363,0.3606181222962896,0.19595474728369752,0.013361536896918054,0.05548406570206122,0.14875009519475244
pf_religion,0.07887737321330728,-0.07946783620214759,0.15884370610449502,0.13403065496505348,0.3773401939488298,1.0,0.4714403535114328,0.42503206659338805,0.19955310488528438,0.3782167690386475,0.0022012290199062497,0.07311346716097761,0.18019406105895602,0.2119377797343899,0.13177057559523003,0.1957292408570865,0.3391845049981896,-0.06382282731972364,0.06137872844135181,0.03290656299217106,0.1774794111162926,0.10154258163908597,0.14571601521243702,-0.03734614891396296,0.08382552557091512,-0.00704341606745105
pf_association,0.34205664331315805,-0.0050189142050332,0.4040363623333201,0.34326506063425294,0.5127322113069271,0.4714403535114328,1.0,0.6792507867365455,0.34336608846858946,0.6223675309573721,-0.11311683299438295,0.30740107953975815,0.3533192070155516,0.3858117858174744,0.3091736343227989,0.37667313431331567,0.5722688775337228,-0.26227708577532477,0.2592147226657493,0.2852119171081911,0.2426846807049927,0.3372381577684543,0.12652693511759508,-0.036029056990405935,0.14225804485743335,0.1024393762134805
pf_expression,0.3788989757816047,-0.007205765644592727,0.5139409187300807,0.44706205406486244,0.5639460962537897,0.42503206659338805,0.6792507867365455,1.0,0.39089415523698334,0.7247922426891018,-0.17122824569692258,0.42075528947073126,0.37060609885410517,0.4242973525629759,0.33379895136160703,0.414545789684717,0.6385415617386172,-0.32829890846754395,0.32644542006429,0.35000492387612425,0.31991362027162273,0.3771446939176427,0.23572867267006634,0.003049007298054465,0.1470108842729061,0.09098932568754271
pf_identity,0.2796693656162731,-0.014041395131419701,0.3249708410604937,0.42441953345885186,0.518413254449603,0.19955310488528438,0.34336608846858946,0.39089415523698334,1.0,0.5543620229855482,-0.18521876462161915,0.280633293944485,0.2540695365378932,0.3278092622065292,0.23228990929227672,0.2731344447378661,0.4746078483954848,-0.2583601548569351,0.25875473399606924,0.21783943992536026,0.2586918315288694,0.29864726280679893,0.1554009906700788,-0.04195474187236056,0.007677851146443196,0.13177457923426963
pf_score,0.4690194076969836,-0.018325775940457645,0.6239316239316238,0.6113619441227571,0.6643650358435793,0.3782167690386475,0.6223675309573721,0.7247922426891018,0.5543620229855482,1.0,-0.19909020927426907,0.515837934093847,0.44213345071714166,0.5274491469677666,0.4141814313488133,0.5060379166706032,0.8124060012472029,-0.38636955748503493,0.38556780615964575,0.42970598492215356,0.3777924507538241,0.478008877150508,0.27281731493044703,0.03965517244047509,0.12472258397945385,0.08095814533582772
ef_government,-0.22816157317386357,0.023504273256445506,-0.286841044097201,-0.2563218141581478,-0.1331430556829654,0.0022012290199062497,-0.11311683299438295,-0.17122824569692258,-0.18521876462161915,-0.19909020927426907,1.0,-0.24502448814544217,-0.022267874890267426,-0.06922865267605155,-0.08632011468994935,0.05226893634882463,-0.09042884943082241,0.18518880268810006,-0.18608405337638337,-0.26406442067238994,-0.19109285058221256,-0.19256025584681008,-0.08104042855259168,-0.16813412587439006,0.11878863491764362,-0.045159397017988795
ef_legal,0.5645945310014007,-0.012269176722684374,0.7151006035574922,0.5641778948974296,0.345701735402444,0.07311346716097761,0.30740107953975815,0.42075528947073126,0.280633293944485,0.515837934093847,-0.24502448814544217,1.0,0.43865666447832624,0.5102901797336671,0.5429834376658458,0.5981192662398332,0.6067386879471077,-0.4597499951015317,0.4587644006772654,0.563426265590609,0.39647108460292263,0.5562627245483641,0.37249399298256,0.2098351033937604,0.13077769625825386,0.020469177017804485
ef_money,0.44069848609025136,-0.029093463498692643,0.4141080664685814,0.37113292159874195,0.3869931756291591,0.18019406105895602,0.3533192070155516,0.37060609885410517,0.2540695365378932,0.44213345071714166,-0.022267874890267426,0.43865666447832624,1.0,0.5549624909812473,0.40053556362569237,0.6328414329775164,0.5651663548659256,-0.3652801579037863,0.3630427221461327,0.368812017449832,0.32438281794504964,0.4568797916437401,0.27355099064627453,0.08492296410703037,0.13132554430777788,0.04427570521991122
ef_trade,0.4928551775570093,-0.011648379899337594,0.501256443466933,0.46250118123483136,0.4537366162923443,0.2119377797343899,0.3858117858174744,0.4242973525629759,0.3278092622065292,0.5274491469677666,-0.06922865267605155,0.5102901797336671,0.5549624909812473,1.0,0.4717621386844818,0.6867247712550136,0.6467470066102188,-0.392894353788028,0.3919360166999171,0.4214021060101103,0.31365212175367957,0.5044113069138121,0.23112056793513422,0.09237485556518539,0.10605671528468955,0.056934279878562644
ef_regulation,0.3480318436309177,0.014391428563410242,0.5111698030152965,0.39315208040020994,0.2565060696665416,0.13177057559523003,0.3091736343227989,0.33379895136160703,0.23228990929227672,0.4141814313488133,-0.08632011468994935,0.5429834376658458,0.40053556362569237,0.4717621386844818,1.0,0.6214474938310981,0.5407358497487252,-0.3021589236170528,0.29950290860964296,0.40417453831930067,0.29628406881625763,0.35306848611569636,0.2962215702653435,0.19321349976316585,0.19970286681886668,-0.059242140787205154
